,Idx,Common name,Binomial,Notes,Category,Order,Family,colour,size,Common_name_lowercase,link,Height,Length,Weight,Image,Voice,Habitat,Description,Range,Movements,Reproduction,Diet,Protection,Sources
386,386,Sooty tern,Onychoprion fuscata,,Gulls and terns,Charadriiformes,Laridae,,,sooty-tern,http://www.oiseaux-birds.com/card-sooty-tern.html,,36-45 cm,150-240 g (average 173-190g),http://www.oiseaux-birds.com/charadriiformes/larides/sterne-fuligineuse/sterne-fuligineuse-pi1.jpg,http://www.xeno-canto.org/species/Onychoprion-fuscatus,"The Sooty  Tern occurs in waters rich in plankton, fish and squid. This species avoids the  cold-current areas. 
    The breeding  grounds are on oceanic islands, and barrier islands of sand, rock or coral. Artificial  islands structures are also used. These islands are usually flat and open, and  often heavily vegetated. 
    Outside the  breeding season, the Sooty Tern is highly pelagic. It can be vagrant inland  after storms and hurricanes.","The Sooty  Tern is a seabird of the tropical oceans. This black and white tern is very  noisy, and its other English names come from its main call” ker-wacki-wah”, and  they vary according to the range from “wideawake” to “ewa ewa”.","The Sooty  Tern occurs in tropical and subtropical waters of Americas, Africa, Asia and  Australia. The terns leave the breeding colonies once the chicks fledge. 
    The birds  from West Indies disperse into Gulf of Mexico and Caribbean where they may  winter. 
    The juveniles  move south down across the Atlantic Ocean to reach the African coasts.  
    The populations  of Indian Ocean probably disperse widely throughout the range. 
    The Pacific  adults disperse between June and October, and begin to return in late November.",,"The breeding  season can be annual or seasonal according to the place. 
    The Sooty  Tern nests in large or huge colonies on flat sites such as open sand, shell,  rock or coral with vegetation. They usually prefer vegetal cover but they lay  on bare grounds. The nest is often a slight depression and the nests are about  50 cm apart.","The Sooty  Tern feeds mainly on fish, squid and crustaceans, and occasionally on insects and  offal.","The Sooty  Tern’s populations are not currently threatened.
    However,  predation by introduced cats and rats is a threat in some areas. The species is  vulnerable to weather conditions and climatic change, oil-pollution, and the persistent  egg-collecting in some areas which encourages the terns to move to less suitable  nest-sites involving reduced breeding success.","HANDBOOK OF THE BIRDS OF THE WORLD Volume 3 by Josep del Hoyo-Andrew Elliott-Jordi Sargatal - Lynx Edicions - ISBN : 8487334202
A Field Guide to the Birds of South-East Asia by Craig Robson. New Holland  Publishers. ISBN: 9781780090498
Avibase (Lepage Denis) 
BirdLife  International (BirdLife International)
SORA  Searchable Ornithological Research Archive (Blair O. Wolf)
THE  AVIANWEB (Sibylle Faye)  
Audubon"
387,387,Little tern,Sternula albifrons,,Gulls and terns,Charadriiformes,Laridae,,,little-tern,http://www.oiseaux-birds.com/card-little-tern.html,,22-28 cm,47-63 g,http://www.oiseaux-birds.com/charadriiformes/larides/sterne-naine/sterne-naine-ja1.jpg,,"The Little  Tern frequents subtropical and temperate regions, and can be seen up to 2000  metres of elevation in Armenia. Populations living in continents are mainly  found in coastal areas, but also inland along rivers. They occur on oceanic  islands too. 
    This species  breeds on barren ground or sparsely vegetated sites such as sandy, shell, rocky  islands, beaches, estuaries, lakes, salt-marshes, rivers and reefs. But it may  occur on bare mud or in grassy areas too. 
    Outside the  breeding season, this species is mainly found in tidal creeks and coastal  lagoons, but it may feed at sea.","ifrons
Charadriiforme Order – Laridae Family
INTRODUCTION: 
    The Little  Tern is the smallest European tern. This species is migratory and winters  southwards. It is mainly found in coastal areas and feeds by hovering before  diving, sometimes in small, synchronized groups. They feed usually about 3-4  kilometres from their breeding colonies.
DESCRIPTION OF THE BIRD:
Biometrics:
    Length:  22-28 cm
    Wingspan:  47-55 cm
    Weight:  47-63 g
The adult  has grey back and upperwing, and white rump, forked tail and underparts. The outermost  primaries are blackish. 
    On the  head, crown and lores are black, whereas the forehead is white.
    The long,  thin bill is bright yellow with reduced black tip. The eyes are dark brown. Legs  and feet are yellow to orange-yellow. 
    Both sexes  are similar.","CIES AND RANGE: 
    The Little  Tern has six subspecies which differ little.",,"OF THIS SPECIES:  
    The breeding  season varies according to the range, but usually takes place when the food  resources are abundant. 
    The Little  Tern breeds in small to medium monospecific colonies, rarely more than 100  pairs with nest placed at least 2 metres apart. 
    The nest  is a scrape on the ground, on beaches of sand, pebbles, shell pieces, coral or  rock, usually placed above the high tide-line, a few metres away from water. However,  in marshy areas, the Little Tern may build a platform of vegetation or shells.",,"The Little  Tern is not currently threatened in spite of several local declines. This species  is vulnerable to human disturbances on beaches, and to predation by gulls and Corvids at colonies.  
    This species  has usually low breeding success rate due to loss of eggs and chicks by predation,  flooding of nest-site and bad weather involving nest failure.","HANDBOOK OF THE BIRDS OF THE WORLD Vol 3 by Josep del Hoyo-Andrew Elliott-Jordi Sargatal  - Lynx Edicions - ISBN : 8487334202
A Field Guide to the Birds of South-East Asia by Craig Robson. New Holland  Publishers. ISBN: 9781780090498
BIRDS OF THE GAMBIA AND SENEGAL by Clive Barlow and Tim Wacher –  Helm Field guides – ISBN: 0713675497
THE  COMPLETE BOOK OF BRITISH BIRDS – Written by “Royal Society for the Protection  of Birds” experts - Préface de Magnus Magnusson - Michael Cady- Rob Hume Editors - ISBN:  0749509112   
THE HANDBOOK OF BIRD IDENTIFICATION FOR EUROPE AND THE WESTERN  PALEARCTIC by Mark Beaman, Steve Madge - C.Helm - ISBN: 0713639601
Avibase (Lepage Denis) 
BirdLife International (BirdLife International) 
ARKive (Christopher Parsons) 
What Bird-The ultimate Bird Guide (Mitchell Waite) 
Wikipedia, the free encyclopaedia"
393,393,Black tern,Chlidonias niger,vagrant,Gulls and terns,Charadriiformes,Laridae,,,black-tern,http://www.oiseaux-birds.com/card-black-tern.html,,23-28 cm,60-74 g,http://www.oiseaux-birds.com/charadriiformes/larides/guifette-noire/guifette-noire-vol-rl.jpg,http://www.xeno-canto.org/species/Chlidonias-niger,"The Black Tern breeds on inland waters such as  marshes, pools, lakes or ricefields with dense cattail and marsh vegetation,  but also with open water areas. 
    During winter, this species lives mostly offshore, but  also on the seacoast, in estuaries and coastal lagoons. 
    During the migrations, it is often seen on coasts and  estuaries, but also at any wet area, ponds and even ditches.","The Black tern is a small dark tern, very graceful  when feeding at water surface.","The Black Tern subspecies “niger” occurs in  Europe and Western Asia, and winters on  African Atlantic coasts.
    The subspecies “surinamensis”  occurs in North America, and winters on the northern coasts of South America,  Pacific coasts of California and both Pacific  and Atlantic coasts of Central America. 
    They migrate in flocks and perform stopovers on lakes  and lagoons.",,"Breeding season occurs in May-June both in Europe and North America.
    The Black Tern favours marshes with floating  vegetation for nesting. This species nests in small colonies of usually about  20 pairs, rarely more than 100 pairs. It nests often over water of at least 50 cm depth, but also on  houses, in old nests of coots or grebes, boards…","The Black Tern feeds primarily on insects during the  breeding season (Coleopteran, Odonata and Ephemeridae). Outside the nesting  period, it feeds also on small fish and aquatic animals such as tadpoles, frogs  and snails. During the migration, they feed mainly on fish, but they also  consume insects and crustaceans.","The Black Tern’s populations are vulnerable or  declining locally, due to drainage of freshwater marshy habitat for  agriculture, and human disturbances. Predation at nest is common by muskrats  and also by pigs when water level is low. 
    Reduction of food availability due to eutrophication  of water, acidification of lakes, introduction of exotic fish species and  pollution by pesticides are some of the main threats.   
    However, the Black Tern is not threatened at this  moment.","HANDBOOK OF THE BIRDS OF THE WORLD Volume 3 by Josep   del Hoyo-Andrew Elliott-Jordi Sargatal - Lynx Edicions - ISBN :   8487334202
THE HANDBOOK OF BIRD IDENTIFICATION FOR EUROPE AND THE   WESTERN PALEARCTIC by Mark Beaman, Steve Madge - C.Helm - ISBN:   0713639601
A GUIDE TO THE BIRDS OF MEXICO AND NORTHERN CENTRAL   AMERICA by  Steve N. G. Howell, Sophie Webb - Oxford   University Press - ISBN: 0198540124
ENCYCLOPEDIE DES OISEAUX DE FRANCE ET D’EUROPE – de   Peter Hayman et Rob Hume - Flammarion – ISBN : 2082009920 
Avibase (Lepage Denis) 
BirdLife   International (BirdLife   International) 
Bird   Web (Seattle Audubon Society) 
Animal Diversity   Web (University of Michigan Museum of Zoology) 
What Bird-The ultimate Bird   Guide (Mitchell Waite)"
395,395,White-fronted tern,Sterna striata,,Gulls and terns,Charadriiformes,Laridae,,,white-fronted-tern,http://www.oiseaux-birds.com/card-white-fronted-tern.html,,42 cm,160 g,http://www.oiseaux-birds.com/charadriiformes/larides/sterne-tara/sterne-tara-gr-plage-imh.jpg,,"The White-fronted  Tern frequents numerous coastal habitat types such as sea cliffs, rocky  headlands, harbours, estuaries, sandy beaches and dunes. It can breed on  shingle islands in rivers and on deserted barges too. 
    This species  feeds along the shores or in bays. It is more oceanic during winter.","Biometrics:
    Length:  42 cm
    Weight:  160 g
The White-fronted  Tern adult has pale grey upperparts, including the wings and the long, deeply  forked tail. We can see a narrow dark band on the outer edge of the first primary. 
    The underparts  are white, but there is sometimes a pale pink or rusty wash on the breast. 
    On the  head, the crown is black whereas forehead and lores are white, like cheeks and  chin. 
    The pointed  bill is black. The eyes are dark brown. Legs and webbed feet are dark reddish-brown.","CIES AND RANGE:
    The White-fronted  Tern has three subspecies with little difference in appearance. 
S.s. incerta occurs on Flinders I and Cape Barren I, off NE  Tasmania. 
S.s. striata (described and displayed) is found on North,  South and Stewart Islands in New Zealand. 
S.s. aucklandorna (displayed) occurs on Chatham Is, Auckland Is  and probably Snares Is too.",,"OF THIS SPECIES: 
    The breeding  season takes place between October and February. The White-fronted Tern breeds  in large, dense colonies along the coasts, on shingle or rock shelves, sandy  beaches and dunes, or steep cliffs. 
    The nest  is a hollow on the ground and usually, there is no added material. But the nest  can be sometimes among the sand vegetation.",,"The White-fronted  Tern has several predators such as stoats, ferrets, cats and rats. Eggs and  chicks are sometimes taken by neighbours from adjacent colonies of gulls. Humans  and their dogs often disturb the nesting birds at the colonies. 
    The population  is estimated at about 24,000/30,000 mature birds, and the species is suspected  to be declining. 
    But currently,  the White-fronted Tern is evaluated as Least Concern.","HANDBOOK  OF THE BIRDS OF THE WORLD Vol 3 by Josep del Hoyo-Andrew Elliott-Jordi Sargatal  - Lynx Edicions - ISBN : 8487334202
KNOW  YOUR NEW ZEALAND BIRDS by Lynnette Moon - New Holland Publishers – ISBN:  1869660897
Avibase (Lepage Denis)  
BirdLife International (BirdLife  International)  
New Zealand Birds Online  
New Zealand bird status between 2008  and 2012 
Te Ara – The Encyclopedia of New  Zealand  
Department of Conservation 
THE AVIANWEB (Sibylle Faye)  
Birds in backyards (Birds Australia  and Australian Museum) 
Tiritiri Matangi  Open Sanctuary 
Birding West Coast – New Zealand 
HBW Alive"
397,397,Common tern,Sterna hirundo,,Gulls and terns,Charadriiformes,Laridae,,,common-tern,http://www.oiseaux-birds.com/card-common-tern.html,,32-39 cm,102-135 g,http://www.oiseaux-birds.com/charadriiformes/larides/sterne-pierregarin/sterne-pierregarin-rl2.jpg,,"The Common  Tern breeds on low-lying inshore islands, sandpits and beaches. It also nests  inland along slow-flowing rivers, and by lakes in open country. It favours  areas with close shallow waters for fishing. 
    During migration,  it can be seen mainly along coasts, in estuaries and freshwater inland lakes. But  during winter, it is mostly coastal and occurs in warm subtropical and tropical  waters.","Biometrics:
    Length:  32-39 cm
    Wingspan:  72-83 cm
    Weight:  102-135 g
The Common  Tern in breeding plumage has pale silvery-grey upperparts. On the upperwing,  the outer primaries have black tips. On the head, forehead, crown, nape and  hindneck are black, extending below the eye. Cheeks, chin and throat are white.  The underparts are pale whitish grey. On the underwing, leading and trailing  edges are mostly dark. The deeply forked tail has elongated outer rectrices. The  outer edges of the tail feathers are dark grey, but the uppertail-coverts are  white. 
    The bill  is blackish with red base. The eyes are dark brown. Legs and feet are dark red.","CIES AND RANGE: 
    The Common  Tern has four subspecies.
S.h. hirundo is found in North America (C and E Canada, N  and E USA) to N South America, Atlantic islands, Europe, N Africa (Tunisia) and  W Africa, through Middle-east and Black and Caspian Seas to Yenisei Valley. It winters  S of Tropic of Cancer.",,"OF THIS SPECIES: 
    The breeding  season takes place in spring with the laying in April/June.
    The Common  Tern breeds in huge colonies, but also as isolated pairs. The colonies are  established in both coastal and inland areas, sometimes up to 4000 metres of  elevation (race tibetana), but more usually on sandy beaches, vegetated  inter-dune areas, islands in estuaries or near lakes and rivers. 
    The nest  is on the bare ground, sometimes surrounded by low vegetation or on floating dead  vegetation. Both adults build the nest, a shallow scrape lined with pieces of plant  material and debris.",,"The Common  Tern has wide range, but it is threatened by human disturbance at colonies  though the increase of recreational activities, flooding of nest-sites with  natural fluctuation of water-levels, habitat loss due to coastal development,  erosion, invasive vegetation on nesting sites and pollution. 
    The global  population is estimated to number 1,600,000/4,600,000 individuals (2006) and is  decreasing. 
    But currently,  the Common Tern is still evaluated as Least Concern.","HANDBOOK  OF THE BIRDS OF THE WORLD Vol 3 by Josep del Hoyo-Andrew Elliott-Jordi Sargatal - Lynx Edicions - ISBN : 8487334202
THE  COMPLETE BOOK OF BRITISH BIRDS – Written by “Royal Society for the Protection  of Birds” experts - Préface de Magnus Magnusson - Michael Cady- Rob Hume Editors - ISBN:  0749509112   
THE  HANDBOOK OF BIRD IDENTIFICATION FOR EUROPE AND THE WESTERN PALEARCTIC by Mark Beaman, Steve Madge - C.  Helm - ISBN: 0713639601
Avibase (Denis Lepage) 
BirdLife International 
HBW Alive 
Audubon 
ARKive (Christopher Parsons) 
All About Birds (Cornell Lab of  Ornithology) 
Wikipedia, the free encyclopaedia 
What Bird-The ultimate Bird Guide  (Mitchell Waite)  
Bird Web (Seattle Audubon Society)  
Department of Sustainability,  Environment, Water, Population and Communities 
New Zealand Birds Online"
398,398,Arctic tern,Sterna paradisaea,,Gulls and terns,Charadriiformes,Laridae,,,arctic-tern,http://www.oiseaux-birds.com/card-arctic-tern.html,,33-36 cm,86-127  g,http://www.oiseaux-birds.com/charadriiformes/larides/sterne-arctique/sterne-arctique-op3.jpg,,"The  Arctic Tern breeds in colonies established on coasts with the nests made on  shingle beaches or gravel ridges and rocks covered with lichens. But it can breed  also far inland in tundra near water, barren fields, grassy meadows and  pastures, and islands in lakes or coastal lagoons. 
    During winter  in the Antarctic, the Arctic Tern is highly pelagic and can be seen from the  open sea to the pack ice area. It often rests on flotsams. 
    It moults  during this period, and remains flightless for a time.","Biometrics:  
    Length:  33-36 cm
    Wingspan:  76-85 cm
    Weight: 86-127  g
This  small tern has brighter colours in breeding plumage. Its plumage is pale grey  with slightly paler underparts and white vent, rump and tail. The long  streamers make this bird very elegant both in flight and on the ground. Crown  and forehead are black, contrasting with a small, narrow white area on the  cheeks.  
    On the  wings, the grey inner webs and the narrow black line along the tips of the  outer primaries, paler on the secondaries, form a translucent “window”  conspicuous in flight. 
    The  adult in breeding plumage has red bill, legs and webbed feet while the eyes are  dark brown.
    In  non-breeding plumage, the forehead is white whereas bill, legs and feet are  blackish. Both sexes are similar.","The  Arctic Tern breeds in a circumpolar distribution including Arctic and  sub-Arctic parts of Europe (as far as Brittany), Asia and North America (as far  as Massachusetts).
    It performs  a long migration to spend the winter in the Antarctic, by following a  zigzagging route from continent to continent.",,"OF THIS SPECIES: 
    The laying  varies with temperatures and food resources, but usually occurs in May-June. 
    The  Arctic Tern nests in colonies and often returns to the same breeding sites in several  following years.
    The nest  is a hollow on the ground, a shallow scrape often unlined, usually in short  vegetation, sand or gravel, at a good distance from the water. Within the  colony, the nests are more than ten metres apart, and occasionally much closer.",,"The  Arctic Tern is threatened by climate change, food resources availability, nest  predators such as other seabirds, hedgehogs, introduced Mustela vison and rats,  human coastal developments and disturbances.
    The species  is protected in some parts of the range such as in Great Britain. However,  other type of threat like shooting for fun, especially in Alaska (but probably also  elsewhere) may affect the local populations. 
    Currently,  the Arctic Tern is evaluated as least Concern with a global population  estimated at 2,000,000 individuals. But the overall trend is decreasing.","HANDBOOK  OF THE BIRDS OF THE WORLD Vol 3 by Josep del Hoyo-Andrew Elliott-Jordi Sargatal - Lynx Edicions - ISBN : 8487334202
L’ENCYCLOPEDIE MONDIALE DES OISEAUX - Dr  Christopher M. Perrins -  BORDAS - ISBN: 2040185607
THE  COMPLETE BOOK OF BRITISH BIRDS – Written by “Royal Society for the Protection  of Birds” experts - Préface de Magnus Magnusson - Michael Cady- Rob Hume Editors - ISBN:  0749509112 
Avibase (Lepage Denis)  
BirdLife International (BirdLife  International)  
ARKive (Christopher Parsons)  
NATIONAL GEOGRAPHIC 
Wikipedia, the free encyclopaedia 
All About Birds (Cornell Lab of Ornithology) 
Bird Web (Seattle Audubon Society)  
Audubon 
Animal Diversity Web (University of Michigan Museum of Zoology)  
THE AVIANWEB (Sibylle Faye)  
BIRDS.COM 
HBW Alive"
399,399,Antarctic tern,Sterna vittata,vagrant; Macquarie Island; Heard Island,Gulls and terns,Charadriiformes,Laridae,,,antarctic-tern,http://www.oiseaux-birds.com/card-antarctic-tern.html,,35-40 cm,150-180 g,http://www.oiseaux-birds.com/charadriiformes/larides/sterne-couronnee/sterne-couronnee-enderby-at1.jpg,,"The  Antarctic Tern breeds on rocky islands on cliffs and offshore stacks, on  headlands, ridges, usually on rocky, gravel or sandy beaches and scattered  scrubs. 
    It nests  in inaccessible areas to avoid predation by introduced cats and rats, often on  cliff ledges and offshore stacks. 
    Outside  the breeding season, the Antarctic Tern can be seen at the edge of the ice in  Antarctica, and on beaches and rocky headlands in South Africa.","ittata
Charadriiformes Order - Laridae Family
INTRODUCTION:
    The  Antarctic Tern ranges throughout the southern oceans and breeds on several  subantarctic islands. It is gregarious while breeding in loose colonies and  fishing in large flocks. The adults often co-operate to defend chicks and nests  against predators. 
    The  species is threatened by introduced mice, cats and rats to some islands, but  most of the breeding areas are now predator-free islands.
    Six  subspecies are currently recognized, but some of them are matter of some debate  and will become probably full species. 
DESCRIPTION OF THE BIRD:  
Biometrics: 
    Length:  35-40 cm
    Wingspan:  75 cm 
    Weight:  150-180 g
The  adult has grey upperparts including the upperwing where the outer primaries  show variably grey to black outer webs. The rump and the deeply forked tail are  white. 
    The  underparts are greyish-white with white undertail-coverts. 
On the  head, forehead, crown and nape are black, contrasting with the white cheeks.  Chin and malar area are greyish-white like the underparts. 
    Bill,  legs and feet are red. The eyes are dark brown. 
    Both  adults are similar.","CIES AND RANGE: 
    The  Antarctic Tern has six subspecies which differ in size and plumage tone. 
S.v. tristanensis is found on Tristan da Cunha and Gough Island. 
S.v. georgiae is found in South Georgia, South Orkney  Islands, South Sandwich Islands and Bouvet Island. 
S.v. gaini occurs in South Shetland Islands and Antarctic  Peninsula (S to Marguerite Bay). 
S.v. vittata is found on Prince Edward, Marion, Crozet,  Kerguelen, and Heard Islands in S Indian Ocean. 
S.v. sanctipauli occurs on Amsterdam and St Paul Islands in S  Indian Ocean. 
S.v. bethunei is found on Stewart Island, and Snares,  Auckland, Campbell, Macquarie, Bounty and Antipodes Islands.",,"OF THIS SPECIES: 
    The breeding  season takes place mainly in November/December, with some variations according  to range, climate and food availability. The Antarctic Tern forms loose  colonies but also nests often solitary. 
    The nest  is a shallow depression on rock, cliff ledge, soil, sand or grassy ground. It  may contain some shells or pebbles, or flattened vegetation.",,"The Antarctic  Tern has wide range, but it is vulnerable to human disturbances and introduced  predators. 
    Total population  is unknown but must be about 50,000 pairs, with the main population of about 35,000  pairs on South Shetlands. 
    However,  the Antarctic Tern is currently evaluated as Least Concern.","HANDBOOK  OF THE BIRDS OF THE WORLD Vol 3 by Josep del Hoyo-Andrew Elliott-Jordi Sargatal - Lynx Edicions - ISBN : 8487334202
A  Complete Guide to Antarctic Wildlife by Hadoram Shirihai and Illustrated by Brett  Jarrett - Edited by Guy M. Kirwan - ALUL.A Press Oy, Finland - ISBN 9519894705
Avibase (Lepage Denis)  
BirdLife International (BirdLife  International)  
Australian Antarctic Division:  Leading Australia's Antarctic Program 
ARKive (Christopher Parsons)  
New Zealand Birds Online  
Cool Antarctica 
Department of Sustainability, Environment, Water, Population and  Communities 
Biodiversity Explorer – The Web of  Life in Southern Africa 
HBW Alive"
402,402,Pacific gull,Larus pacificus,,Gulls and terns,Charadriiformes,Laridae,,,pacific-gull,http://www.oiseaux-birds.com/card-pacific-gull.html,,,,http://www.oiseaux-birds.com/charadriiformes/larides/goeland-austral/goeland-austral1.jpg,http://www.xeno-canto.org/species/Larus-pacificus,"Pacific Gull is rather a bird of shores than of  oceans. It is often seen along local beaches, or flying on shore-line searching  for food. It frequents estuaries, sheltered bays or harbours, but avoids human  areas. It is sometimes seen in farmlands and rubbish-dumps in coastal areas.","Pacific Gull is a large gull with powerful bill,  endemic to Australia.","Pacific Gull is native and lives in Southern  Australia, mostly on south and west coasts, and Tasmania. It can be seen sometimes on the  east coasts. 
    It mainly breeds in Tasmania,  in Bass Strait Islands, and westwards along Victorian  coasts.",,"Breeding season occurs between September and December. 
    This species nests in pairs or in small colonies,  usually on offshore islands. Nest is situated on the ground, usually hidden  among vegetation or rocks.","Pacific Gull feeds mainly on aquatic invertebrates  such as molluscs, squid, crabs, sea-urchins and varied crustaceans. It also  consumes fish, small seabirds, eggs and nestlings, and also carrion.","Pacific Gull is often disturbed at breeding sites by  humans, although nest-sites are naturally protected by their inaccessibility. 
    However, this species is often seen scavenging on  human refuse, at picnic areas and abattoirs, or near wharves for fish.  Populations seem to be stable at this moment.","HANDBOOK  OF THE BIRDS OF THE WORLD Volume 3 by Josep  del Hoyo-Andrew Elliott-Jordi Sargatal -  Lynx Edicions - ISBN : 8487334202
Avibase (Lepage Denis) 
Birds in backyards (Birds Australia and Australian Museum) 
Wikipedia (Wikipedia, The Free Encyclopedia) 
BirdLife International (BirdLife International) 
Arthur Grosset's Birds (Arthur Grosset)"
403,403,Lesser black-backed gull,Larus fuscus,"vagrant, Cocos (Keeling) Islands",Gulls and terns,Charadriiformes,Laridae,,,lesser-black-backed-gull,http://www.oiseaux-birds.com/card-lesser-black-backed-gull.html,,50-60 cm,550-1200 g,http://www.oiseaux-birds.com/charadriiformes/larides/goeland-brun/goeland-brun1.jpg,http://www.xeno-canto.org/species/Larus-fuscus,"Lesser Black-backed Gull frequents islands, lakes and  coasts. It may be found both in coastal and inland habitats, and even in  cultivated areas. 
    It breeds on coastal dunes, sandy coasts, but also  with rock or grass, sea coasts, rocky islands, lake and river’s islands,  locally on cliffs and buildings. 
    It winters in inshore and offshore coastal waters, and  also in estuaries and harbours.",Lesser Black-backed Gull is a medium-sized gull with  dark grey mantle and yellow legs. It is slightly smaller than Herring Gull  (Larus argentatus).,"Lesser Black-backed Gull breeds on the Atlantic  European coasts, but this migratory gull winters from the British islands to West Africa. 
    It is often seen on Atlantic coast of North America,  maybe coming from Iceland.",,"Breeding season occurs in spring. The birds arrive at  colony in March. 
    The colony is established in varied kinds of shores  such as grassy, rocky, dunes, cliff ledges, and even buildings. Lesser  Black-backed Gull is often mixed with Herring Gulls. They prefer nest-sites  with dense vegetation, sometimes under pine trees. 
    The nest is made with dry stems, grass, algae, lichen  and feathers, and it is built by both adults.","Lesser Black-backed Gull feeds on small fishes,  molluscs, worms, invertebrates, rodents, young birds and eggs of birds, some  seeds and berries, and carrion.","Lesser Black-backed Gull’s populations are stable, and  even increasing since the 1940,s. 
    Herring Gull predation within the colonies may  seriously affect the numbers. Changes in fishing practices and competitions  with other species for food may involve some declines, mainly in Northern Europe.
    However, this species is not globally threatened at  this moment.","HANDBOOK  OF THE BIRDS OF THE WORLD Volume 3 by Josep  del Hoyo-Andrew Elliott-Jordi Sargatal -  Lynx Edicions - ISBN : 8487334202
THE HANDBOOK OF BIRD IDENTIFICATION FOR EUROPE AND THE WESTERN PALEARCTIC by Mark Beaman, Steve Madge -  C.Helm - ISBN: 0713639601
Avibase (Lepage Denis)

The Longevity List (Roland Staav) 
Pájaros de España (JL Beamonte) 
Wikipedia (Wikipedia, The Free Encyclopedia)"
404,404,Kelp gull,Larus dominicanus,,Gulls and terns,Charadriiformes,Laridae,,,kelp-gull,http://www.oiseaux-birds.com/card-kelp-gull.html,,54-65 cm,900-1300 g,http://www.oiseaux-birds.com/charadriiformes/larides/goeland-dominicain/goeland-dominicain-pi2.jpg,,"The Kelp  Gull usually occurs along the coasts, especially in South Africa. But throughout  the range, it also frequents large inland lakes in the Andes of Argentina. It also  feeds and roosts around lakes, including smaller mountain lakes in New Zealand.  It also frequents reservoirs, estuaries and rivers. It can be seen in farmland  and lawns too.","anus
Charadriiformes Order – Laridae Family
INTRODUCTION: 
    The Kelp  Gull is present through much of the Southern Hemisphere. According to the  authors, 4 or 5 subspecies are recognized, but Kelp Gull’s taxonomy is still in  a state of uncertainty. As this species has extremely wide range, more  subspecies might be added in the future. However, you will find on this page numerous  pictures from several locations in the Southern Hemisphere.
DESCRIPTION OF THE BIRD:
Biometrics:  
    Length:  54-65 cm
    Wingspan:  128-143 cm
    Weight:  900-1300 g
The adult  is a typical gull with black upperparts and white tail. On the black upperwing,  the trailing edge is white and the  wing tip shows white patches. 
    Head,  neck, nape, tail and underparts are white.
  The bill  is yellow with red gonydal angle. The  eyes are yellow, surrounded by red or orange eyering. Legs and webbed feet are  greenish-yellow (mostly greyer in Africa).","CIES AND RANGE:  
    The Kelp  Gull can be considered a monotypic species, awaiting more information about the  subspecies. However, the 5 currently recognized races can be mentioned.",,"OF THIS SPECIES: 
    The breeding  season varies, depending on the range, but usually occurs between September and  January. They breed in December in the Falklands and at any time on offshore  islands. 
    The Kelp  Gull breeds in colonies, from dozens (at range’s edges) to several hundreds of  pairs. The nest is built on rocks or sand, in well vegetated areas. It is often  placed under the protection of rock, bush or tree, or any vertical structure. This  is a bulky nest made with dried plants and seaweeds. It is lined with softer  vegetation.",,"The Kelp  Gull has large range and it is common and conspicuous in most part of its  distribution. The overall population is increasing with agriculture and fishery  expansion. 
    It is  often considered a pest in urban areas, and might have negative effect on the  coastal wildlife, through harassment and predation towards other bird species  and small animals. 
    The Falkland’s  population is about 30,000 breeding pairs. The global population is estimated to  number 3,300,000/4,300,000 individuals. 
    The Kelp  Gull is not currently threatened, and evaluated as Least Concern.","HANDBOOK  OF THE BIRDS OF THE WORLD Vol 3 by Josep del Hoyo-Andrew Elliott-Jordi Sargatal - Lynx Edicions - ISBN : 8487334202
Avibase (Lepage Denis)  
BirdLife International (BirdLife  International)  
Birds of Falkland Islands 
ARKive (Christopher Parsons)  
HBW Alive 
Audubon 
Australian Antarctic Division: Leading Australia's Antarctic Program 
New Zealand Birds Online  
Birds in backyards (Birds Australia  and Australian Museum) 
What Bird-The ultimate Bird Guide  (Mitchell Waite)"
